5C,PY,NAu,NAf,NAC,NP,NWT,NWA,NR,AFs,NF,NT,NSF,NWDL,NPSDL,NNSDL,NSSDL,NQDL,NWAR,NPSAR,NNSAR,NSSAR,NFAR,SAD,NDR
0,2019,9,8,2,34,11,150,46,3,4,16,2,1515,27,8,24,4,2438,26,6,19,0,157,1
1,2019,24,9,4,27,18,149,78,14,7,0,1,1078,22,3,8,4,1805,33,11,17,3,145,1
0,2019,6,3,2,13,12,149,37,3,4,0,2,3002,50,34,30,8,4653,43,18,26,1,216,1
0,2019,7,4,2,24,11,150,61,2,6,0,1,1185,19,8,15,0,2725,31,17,21,0,120,1
0,2019,6,3,2,12,14,147,27,4,4,0,1,2419,39,14,23,19,1726,19,10,8,0,191,2
0,2019,5,1,1,24,14,159,73,1,7,0,8,1334,31,9,16,3,1405,14,3,6,0,122,0
0,2019,13,5,1,21,16,149,56,6,7,0,1,1045,14,10,16,3,1760,10,13,13,0,134,0
0,2019,4,2,1,14,10,115,0,0,10,0,2,1578,34,3,15,10,2282,10,5,6,0,144,1
0,2019,7,1,1,26,16,147,66,5,7,2,2,1503,22,10,16,8,1932,22,14,11,0,159,2
0,2019,12,5,3,34,12,181,115,2,9,4,1,1607,26,10,19,4,2741,32,13,23,0,139,0
0,2019,6,4,2,24,12,148,62,7,7,0,5,1170,12,10,9,3,1961,26,8,21,1,78,1
0,2019,2,4,1,23,16,150,52,3,5,0,2,1095,18,6,15,2,1491,9,7,7,0,169,0
1,2019,3,2,2,24,9,148,83,1,7,3,5,1198,30,3,10,7,1407,27,7,14,0,145,1
4,2019,16,3,2,25,11,133,69,6,8,0,1,1807,31,14,13,24,2727,25,4,9,2,119,3
0,2019,2,1,1,21,11,150,69,3,5,0,1,1933,36,18,20,9,2437,27,7,7,0,154,1
0,2019,7,1,1,22,13,150,85,5,8,0,4,1896,32,15,23,3,4121,55,15,18,2,116,1
2,2019,4,2,1,17,12,150,45,4,5,2,9,1342,25,9,18,5,1897,21,7,12,0,170,3
0,2019,10,6,3,22,15,151,58,2,5,0,1,759,9,4,8,2,1352,21,8,11,0,194,1
2,2019,3,1,1,28,9,154,55,2,4,3,3,942,17,8,7,4,1986,24,10,13,0,156,1
2,2019,6,4,2,43,11,148,100,5,4,0,1,2015,47,5,23,8,3189,36,7,21,0,157,2
1,2019,2,1,1,31,17,151,54,2,7,0,1,4809,87,50,61,33,8050,62,23,36,0,232,0
0,2019,7,1,1,17,12,151,54,4,4,0,2,1478,28,7,19,13,2512,38,7,20,0,187,1
2,2019,6,1,1,24,12,126,74,3,7,0,1,958,17,7,11,1,1879,26,13,18,0,80,0
2,2019,15,6,2,31,13,157,63,4,6,0,24,903,17,6,8,0,827,11,2,5,0,141,1
1,2019,4,4,1,23,13,144,37,4,7,2,1,1384,20,6,10,10,2531,24,10,19,0,292,1
0,2019,8,1,1,33,15,152,80,8,5,8,2,3660,73,28,51,31,13106,139,65,81,2,206,1
3,2019,4,2,1,18,6,150,41,6,6,0,1,4701,56,36,49,46,7235,65,43,44,5,386,0
7,2019,8,2,1,21,8,147,44,7,5,0,2,2422,56,18,34,0,4240,60,12,35,0,173,1
3,2019,28,6,4,38,14,150,101,5,10,0,3,971,16,9,11,1,1544,11,5,6,0,190,2
4,2019,25,9,3,23,10,132,57,6,5,0,4,861,16,1,10,0,2046,18,12,3,2,251,0
3,2019,10,4,2,37,12,148,101,4,7,0,3,592,8,7,6,9,1417,16,9,5,0,96,1
0,2019,2,1,1,28,13,144,50,4,15,0,1,1696,34,10,18,6,2256,20,8,13,0,112,2
4,2019,7,5,2,13,13,99,41,2,5,0,1,520,8,1,2,3,619,3,5,2,0,73,0
3,2019,7,2,2,27,17,152,61,6,7,0,4,875,13,2,4,0,1235,11,5,9,0,140,0
